video_id,as_of_date_utc,as_of_ts_utc,viewCount,likeCount,commentCount
FzBiMfTDjbo,2025-10-01,2025-10-02T07:05:26.393641+00:00,806,25,1
EshpPc8jKos,2025-10-01,2025-10-02T07:05:26.393710+00:00,413,2,0
2jbTxIZr7a0,2025-10-01,2025-10-02T07:05:26.393721+00:00,546,142,4
TS5A7ulWzXY,2025-10-01,2025-10-02T07:05:26.393737+00:00,2003,206,12
eiuschqogus,2025-10-01,2025-10-02T07:05:26.393752+00:00,164,0,0
rq7nsw41igk,2025-10-01,2025-10-02T07:05:26.393766+00:00,35005,1344,394
T9jiYm08wAM,2025-10-01,2025-10-02T07:05:26.393774+00:00,2273,5,0
5TH-wj_wJYA,2025-10-01,2025-10-02T07:05:26.393781+00:00,941,24,0
vtjkrGKIF8c,2025-10-01,2025-10-02T07:05:26.393789+00:00,653,12,0
Sl1ffEmoXpU,2025-10-01,2025-10-02T07:05:26.393794+00:00,258,7,0
s2fNget6h8o,2025-10-01,2025-10-02T07:05:26.393801+00:00,139,32,0
oLhtKf2E8NA,2025-10-01,2025-10-02T07:05:26.393817+00:00,114380,642,4
a9L8OkwpCdI,2025-10-01,2025-10-02T07:05:26.393823+00:00,9,1,0
hEFMCZrWuow,2025-10-01,2025-10-02T07:05:26.393829+00:00,19059,702,177
eVjAMVieHRI,2025-10-01,2025-10-02T07:05:26.393835+00:00,42340,278,2
dIeHGBhLBlg,2025-10-01,2025-10-02T07:05:26.393841+00:00,1936,207,5
vErh15zVwAc,2025-10-01,2025-10-02T07:05:26.393855+00:00,1787,31,1
iOxpkpn7gSg,2025-10-01,2025-10-02T07:05:26.393863+00:00,17512,39,9
lNDgUke_I9Q,2025-10-01,2025-10-02T07:05:26.393869+00:00,5910,2,0
bA9B6iC6kuw,2025-10-01,2025-10-02T07:05:26.393875+00:00,2499,150,59
ShocT5U7j4M,2025-10-01,2025-10-02T07:05:26.393882+00:00,33059,201,2
N6BMpAj7q3E,2025-10-01,2025-10-02T07:05:26.393890+00:00,41,2,0
1QrnwzqyUBw,2025-10-01,2025-10-02T07:05:26.393896+00:00,22104,1095,347
9gFgl1mHHxI,2025-10-01,2025-10-02T07:05:26.393922+00:00,33955,228,3
FzBiMfTDjbo,2025-10-02,2025-10-03T07:04:31.264582+00:00,816,25,1
EshpPc8jKos,2025-10-02,2025-10-03T07:04:31.264638+00:00,418,4,0
